,loss,loss_moco,loss_sup,loss_entmin,loss_walker
1,1.2772527323404947,0.23828143374125163,0.0048587739451322704,0.007209103487183651,1.2772527323404947
2,0.9477036980946859,0.11151286914804175,9.388421553497513e-05,0.001810052857796351,0.9477036980946859
3,0.9205119672139486,0.09985536713600159,3.27780493835841e-05,0.0012428856906791528,0.9205119672139486
4,0.9081028863271078,0.09366000231903791,1.6079099253208066e-05,0.001024911124445498,0.9081028863271078
5,0.8997394594828287,0.08917949839433034,1.2983881657176729e-05,0.0008904959177598357,0.8997394594828287
6,0.8937920055389404,0.08575170091787974,7.961456279978544e-06,0.0008192946518460909,0.8937920055389404
7,0.8896502463022867,0.08364379139741261,4.820719751660363e-06,0.0007306914419867098,0.8896502463022867
8,0.8862235524495443,0.08146203477559487,4.290219881295343e-06,0.000693082862906158,0.8862235524495443
9,0.8835533855438232,0.08025526028474173,4.0637381487613315e-06,0.000647236888576299,0.8835533855438232
10,0.8821326825459798,0.07892017556826274,2.652571401631576e-06,0.0006354275230318308,0.8821326825459798
11,0.8796315518697103,0.07788183830181758,2.526037099111515e-06,0.0005968220444396138,0.8796315518697103
12,0.8782013481140136,0.07666137898369631,1.7177151958094328e-06,0.0005811488365754485,0.8782013481140136
13,0.8764757409413656,0.07570883069038391,2.319967669154721e-06,0.0005545650963361064,0.8764757409413656
14,0.8749623083750407,0.07472871971925099,2.463009663036549e-06,0.000550438285091271,0.8749623083750407
15,0.8742915762583414,0.07411129815989732,2.083317460649899e-06,0.0005356137515821805,0.8742915762583414
16,0.8734649585723877,0.07345469931761424,1.998260923331448e-06,0.0005263697852070133,0.8734649585723877
17,0.8721133050282797,0.07284784111181895,9.545001365950157e-07,0.0005005392585881054,0.8721133050282797
18,0.8711315479278564,0.07214152377458413,5.82889716876404e-07,0.0004976387795836975,0.8711315479278564
19,0.8699812014261882,0.07123365075588227,1.401333605660208e-06,0.0004728429817284147,0.8699812014261882
20,0.8690564505259196,0.07079477047522863,1.2407778073187121e-06,0.0004752340944639097,0.8690564505259196
21,0.8687524133046468,0.07051184802055359,5.901875529919683e-07,0.0004609028120835622,0.8687524133046468
