,loss,loss_moco,loss_sup,loss_entmin,loss_walker
1,1.3997976914723713,0.2942836473385493,0.005047596395853907,0.0077130844275156655,1.3997976914723713
2,1.0367829565684001,0.15742870901258768,0.000405081200079682,0.002146179289619128,1.0367829565684001
3,0.9933789635976156,0.13795469342899322,0.0001807121708911533,0.0014301073116560778,0.9933789635976156
4,0.9748332091013591,0.12914148247623444,0.0001108207068250825,0.0011292698541035256,0.9748332091013591
5,0.9632157440185547,0.12397580255222274,7.150458143927002e-05,0.0009676453386122982,0.9632157440185547
6,0.9573783181508382,0.12091937866799037,6.409524461293283e-05,0.0008460245346960922,0.9573783181508382
7,0.9523281866709391,0.11797314403057098,5.372723265463719e-05,0.0007732327396981418,0.9523281866709391
8,0.9478750542958577,0.11617012459437052,4.821346550937354e-05,0.0007340690772049129,0.9478750542958577
9,0.9455365834554037,0.11503038847891489,3.6437547605358604e-05,0.0006882180528715253,0.9455365834554037
10,0.9424009658813477,0.1138607176747322,3.7397523075196656e-05,0.0006509673588909209,0.9424009658813477
11,0.9399193926493327,0.11261271858215333,2.4909407004815875e-05,0.0006246941476749878,0.9399193926493327
12,0.9392733453114828,0.11221613731384278,2.3595907640386335e-05,0.0006008440817085406,0.9392733453114828
13,0.9367978673299153,0.11118369053268433,2.7799304769844943e-05,0.00057320227753371,0.9367978673299153
14,0.9347359631856282,0.11002224875291189,2.5664205989596667e-05,0.0005494347600887219,0.9347359631856282
15,0.9338943349202474,0.10970494606494903,1.9872122458036755e-05,0.0005367383843598267,0.9338943349202474
16,0.9337633871714274,0.10964179050127665,2.076526660906287e-05,0.0005346692928113044,0.9337633871714274
17,0.931376349512736,0.10855980779679616,2.143569588461105e-05,0.0005126192721383025,0.931376349512736
18,0.9297244528452555,0.10760467726389567,1.6664248378704846e-05,0.0004924599416088313,0.9297244528452555
19,0.9294332632700603,0.10765270813306173,1.4403545252631981e-05,0.0004883528712981691,0.9294332632700603
20,0.9293565137227376,0.10741261123021444,1.776119433734493e-05,0.0004963461316811542,0.9293565137227376
21,0.9275985242207845,0.10670435344378154,1.4616102380083854e-05,0.0004774019493876646,0.9275985242207845
22,0.9271865720113118,0.10624133544794719,1.2351217003075969e-05,0.0004705788551829755,0.9271865720113118
23,0.926472774887085,0.10633223254680634,1.0551318618490769e-05,0.0004644534372414152,0.926472774887085
24,0.9249548520406087,0.10530957156817118,7.360738380945501e-06,0.0004524678919153909,0.9249548520406087
25,0.9253257807413737,0.10511467529646555,1.1319831610611194e-05,0.0004507378242133806,0.9253257807413737
26,0.9246204433441162,0.10487438533306122,1.3369974884123319e-05,0.00045712496677103144,0.9246204433441162
27,0.9244746060689291,0.10442029790115358,1.8172799626305882e-05,0.00045165759123240906,0.9244746060689291
28,0.9237743499755859,0.10447758479913076,8.836304814455313e-06,0.0004506021690244476,0.9237743499755859
29,0.922239185333252,0.10368276130358378,1.5706526220977442e-05,0.0004389390349776174,0.922239185333252
30,0.9220528106689453,0.1033444212436676,1.631808555139287e-05,0.00044488703075330706,0.9220528106689453
31,0.9218203428904216,0.1033858062028885,1.6051144828482695e-05,0.00043639674891407293,0.9218203428904216
32,0.9211066102345784,0.10297664788564047,9.83646489809568e-06,0.00042961969173823793,0.9211066102345784
33,0.9205218819936116,0.10271956841897965,1.1760843602375341e-05,0.0004224528733097638,0.9205218819936116
34,0.9197614086151124,0.10165955229663849,1.2602290108012919e-05,0.0004300090942842265,0.9197614086151124
35,0.9196992163340251,0.1020588694969813,1.1411308794140495e-05,0.00041957208833967645,0.9196992163340251
36,0.9187810511271158,0.10136593812306723,7.448497430368661e-06,0.0004206016870137925,0.9187810511271158
37,0.918185414759318,0.10116425529432296,1.1387891832388656e-05,0.00040837959769026685,0.918185414759318
38,0.9184239678700765,0.10123546473312378,4.696403639506267e-06,0.00039948316398852817,0.9184239678700765
39,0.9181017850240072,0.1010899196545283,6.887885428841401e-06,0.0004098807340255007,0.9181017850240072
40,0.9175546586354574,0.10063919277191162,9.565855343938287e-06,0.00040507023461783926,0.9175546586354574
41,0.9171254128774007,0.10047579771677653,8.849302491535127e-06,0.00040587894523826736,0.9171254128774007
42,0.9163816137949625,0.10004569756189982,8.730153233985523e-06,0.00039121186332777145,0.9163816137949625
43,0.9158677084604899,0.0995490825176239,8.459196870550537e-06,0.00040015875255921857,0.9158677084604899
44,0.9155505390167237,0.0996510381937027,6.733775014208732e-06,0.00040354733031708746,0.9155505390167237
45,0.9158502957661947,0.09969407231855391,6.950423710820057e-06,0.0003877191282110289,0.9158502957661947
46,0.9157021839141846,0.09949015834331512,1.3984011341077954e-05,0.00039845671383664013,0.9157021839141846
47,0.9146074452718099,0.09885677105585734,1.0439992049593154e-05,0.0003859176562245314,0.9146074452718099
48,0.9150986358642578,0.09906500025161107,4.190454856332811e-06,0.00038555820500478147,0.9150986358642578
49,0.9148750184377035,0.0991003297885259,5.615848195831556e-06,0.0003869916070640708,0.9148750184377035
50,0.9141095190684001,0.09836106015841166,8.857990017607638e-06,0.0003913587993942201,0.9141095190684001
